name, url, addr, phone
Foothills Sports Medicine Physical Therapy,https://www.yelp.com/biz/foothills-sports-medicine-physical-therapy-phoenix-7?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2222 E Highland Ave Ste 200 Phoenix AZ 85016 ,(602) 595-6180,
Foothills Sports Medicine Physical Therapy,https://www.yelp.com/biz/foothills-sports-medicine-physical-therapy-phoenix-8?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,375 E Virginia Ave Ste B Phoenix AZ 85004 ,(602) 264-0443,
Spooner Physical Therapy - Biltmore,https://www.yelp.com/biz/spooner-physical-therapy-biltmore-phoenix-4?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,2122 E Highland Ave Ste 200 Phoenix AZ 85016 ,(602) 778-0900,
Endurance Rehabilitation,https://www.yelp.com/biz/endurance-rehabilitation-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,4440 N 36th St Ste 240 Phoenix AZ 85018 ,(602) 956-4040,
Arizona Sports Physical Therapy,https://www.yelp.com/biz/arizona-sports-physical-therapy-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,333 W Thomas Rd Ste 208 Phoenix AZ 85013 ,(602) 253-4120,
TOPS Physical Therapy,https://www.yelp.com/biz/tops-physical-therapy-phoenix-2?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,5353 N 16th St Ste 120 Phoenix AZ 85016 ,(602) 826-0037,
South Mountain Physical Therapy,https://www.yelp.com/biz/south-mountain-physical-therapy-phoenix-3?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3230 E Baseline Rd Ste 101 Phoenix AZ 85042 ,(602) 438-9773,
360 Physical Therapy & Aquatic Center,https://www.yelp.com/biz/360-physical-therapy-and-aquatic-center-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,3700 N 24th St Ste 230 Phoenix AZ 85016 ,(602) 903-4383,
Fischer Institute,https://www.yelp.com/biz/fischer-institute-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,5750 S 32nd St Phoenix AZ 85040 ,(602) 437-5055,
Limitless Physical Therapy,https://www.yelp.com/biz/limitless-physical-therapy-phoenix?adjust_creative=x6_8-SBS55EU4xNIjS2rrA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x6_8-SBS55EU4xNIjS2rrA,505 E Camelback Rd Phoenix AZ 85012 ,(503) 750-2499,
